ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:00.777002856Z,2022-09-29T08:00:00.776992129Z,10,2,29,A,N,0,142.000000000,100,130,10727,330508,142.000000000,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:00.799100324Z,2022-09-29T08:00:00.799089033Z,10,2,29,A,N,0,146.000000000,2,130,11291,330588,146.000000000,,2,0,1,0,142.000000000,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:00.828390181Z,2022-09-29T08:00:00.828379265Z,10,2,29,A,N,1,143.000000000,100,130,10916,330700,146.000000000,,2,0,1,0,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:00.841294787Z,2022-09-29T08:00:00.841284240Z,10,2,29,A,N,3,136.000000000,3,130,10547,330778,146.000000000,,2,0,1,0,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:00.931846246Z,2022-09-29T08:00:00.931835805Z,10,2,29,A,N,0,149.370000000,1,130,10441,331121,146.000000000,149.370000000,2,1,1,1,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.418342188Z,2022-09-29T08:00:01.418331161Z,10,2,29,A,N,0,147.430000000,100,130,11027,334172,147.430000000,149.370000000,100,1,1,1,146.000000000,,2,0,1,0,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.418464243Z,2022-09-29T08:00:01.418454226Z,10,2,29,C,N,0,147.430000000,100,130,10017,334173,146.000000000,149.370000000,2,1,1,1,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.679345361Z,2022-09-29T08:00:01.679334748Z,10,2,29,A,N,3,141.680000000,1,130,10613,334862,146.000000000,149.370000000,2,1,1,1,143.000000000,,100,0,1,0,142.000000000,,100,0,1,0,141.680000000,,1,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.734254837Z,2022-09-29T08:00:01.734243965Z,10,2,29,A,N,1,160.000000000,50,130,10872,334946,146.000000000,149.370000000,2,1,1,1,143.000000000,160.000000000,100,50,1,1,142.000000000,,100,0,1,0,141.680000000,,1,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.892543844Z,2022-09-29T08:00:01.892532846Z,10,2,29,A,N,0,148.800000000,10,130,10998,335405,146.000000000,148.800000000,2,10,1,1,143.000000000,149.370000000,100,1,1,1,142.000000000,160.000000000,100,50,1,1,141.680000000,,1,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.941340476Z,2022-09-29T08:00:01.941329426Z,10,2,29,A,N,1,143.000000000,100,130,11050,335558,146.000000000,148.800000000,2,10,1,1,143.000000000,149.370000000,200,1,2,1,142.000000000,160.000000000,100,50,1,1,141.680000000,,1,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.949801787Z,2022-09-29T08:00:01.949790319Z,10,2,29,A,N,2,160.000000000,1,130,11468,335567,146.000000000,148.800000000,2,10,1,1,143.000000000,149.370000000,200,1,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.965474545Z,2022-09-29T08:00:01.965463792Z,10,2,29,A,N,4,140.000000000,10,130,10753,335619,146.000000000,148.800000000,2,10,1,1,143.000000000,149.370000000,200,1,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.000000000,,10,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.975120760Z,2022-09-29T08:00:01.975109114Z,10,2,29,A,N,1,144.000000000,13,130,11646,335675,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,13,1,1,1,143.000000000,160.000000000,200,51,2,2,142.000000000,,100,0,1,0,141.680000000,,1,0,1,0,140.000000000,,10,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.984691083Z,2022-09-29T08:00:01.984680675Z,10,2,29,A,N,5,140.800000000,80,130,10408,335731,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,13,1,1,1,143.000000000,160.000000000,200,51,2,2,142.000000000,,100,0,1,0,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,10,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.988228544Z,2022-09-29T08:00:01.988217642Z,10,2,29,A,N,2,152.000000000,50,130,10902,335755,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,13,1,1,1,143.000000000,152.000000000,200,50,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,10,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.990849852Z,2022-09-29T08:00:01.990838809Z,10,2,29,A,N,1,144.000000000,2,130,11043,335767,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,15,1,2,1,143.000000000,152.000000000,200,50,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,10,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:01.999324589Z,2022-09-29T08:00:01.999313725Z,10,2,29,A,N,6,140.000000000,4,130,10864,335796,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,15,1,2,1,143.000000000,152.000000000,200,50,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,14,0,2,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:02.004093810Z,2022-09-29T08:00:02.004082773Z,10,2,29,A,N,6,140.000000000,6,130,11037,335806,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,15,1,2,1,143.000000000,152.000000000,200,50,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,20,0,3,0,136.000000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,AAPL
2022-09-29T08:00:02.007437184Z,2022-09-29T08:00:02.007426197Z,10,2,29,A,N,7,137.000000000,5,130,10987,335813,146.000000000,148.800000000,2,10,1,1,144.000000000,149.370000000,15,1,2,1,143.000000000,152.000000000,200,50,2,1,142.000000000,160.000000000,100,51,1,2,141.680000000,,1,0,1,0,140.800000000,,80,0,1,0,140.000000000,,20,0,3,0,137.000000000,,5,0,1,0,136.000000000,,3,0,1,0,,,0,0,0,0,AAPL
